,f_id,item,veg_or_non_veg
11259,fd20091,Prawn In Thai Green Curry,Non-veg
11260,fd20092,Chicken In Thai Red Curry,Non-veg
11261,fd20093,Chicken In Thai Green Curry,Non-veg
11262,fd20094,Chicken In Chili Oyster Sauce,Non-veg
11263,fd20095,Slice Chicken In Hot Spicy Green Sauce,Non-veg
11264,fd20096,Shredded Chicken In Choice Of Sause,Non-veg
11265,fd20097,Cantonese Chicken,Non-veg
11266,fd20098,Exotic Veg In Thai Red Curry,Veg
11267,fd20099,Exotic Veg In Thai Green Curry,Veg
11268,fd20100,Baby Potato In Hot Garlic Sauce,Veg
11269,fd20101,Paneer In Choice Of Sauce,Veg
11270,fd20102,Babycorn & Mushroom In Choice Of Sauce,Veg
11271,fd20104,Exotic Vegetable In Choice Of Sauce,Veg
11272,fd20105,Potato & Corn In Choice Of Sauce,Veg
11273,fd20106,Stir Fried Veg With Asian Greens,Veg
11274,fd20108,Chili Chicken,Non-veg
11275,fd20110,Chicken In Choice Of Sauce,Non-veg
11276,fd20111,Stir Fried Chicken With Asian Greens,Non-veg
11277,fd20117,Tandoori Laccha Paratha,Veg
11278,fd20122,Plain Tawa Paratha,Veg
11279,fd20123,Butter Tawa Paratha,Veg
11280,fd20126,Pyaz Hari Mirch Ki Roti,Veg
11281,fd20127,Prawn Biryani,Non-veg
11282,fd20128,Gosht Dum Biryani,Non-veg
11283,fd20129,Tangri Kebab Biryani,Non-veg
11284,fd20131,Nataraj Special Veg Khichdi,Veg
11285,fd20137,Vegetable Pulao,Veg
11286,fd20140,Egg Biryan,Non-veg
11287,fd20141,Murg Dum Biryani,Non-veg
11288,fd20142,Mixed Cantonese Noodles,Non-veg
11289,fd20143,Mixed Schezwan Noodles,Non-veg
11290,fd20144,Mixed Chili Garlic Noodles,Non-veg
11291,fd20146,Mixed Cantonise Fried Rice,Non-veg
11292,fd20148,Mixed Chili Garlic Fried Rice,Non-veg
11293,fd20150,Prawn Cantonese Noodles,Non-veg
11294,fd20151,Prawn Chili Garlic Noodles,Non-veg
11295,fd20153,Prawn Mangolian Fried Rice,Non-veg
11296,fd20155,Prawn Chili Garlic Fried Rice,Non-veg
11297,fd20157,American Chopsuey Chicken,Non-veg
11298,fd20161,Veg Chili Garlic Fried Rice,Veg
11299,fd20163,Ginger Coriander Corn Fried Rice,Veg
11300,fd20165,Veg Chili Garlic Noodles,Veg
11301,fd20166,Veg Cantonese Noodles,Veg
11302,fd20169,Egg Chili Garlic Fried Rice,Non-veg
11303,fd20171,Egg Mongolian Fried Rice,Non-veg
11304,fd20173,Egg Chili Garlic Noodles,Non-veg
11305,fd20174,Egg Cantonese Noodles,Non-veg
11306,fd20176,Chicken Chili Garlic Fried Rice,Non-veg
11307,fd20182,Garden Green Salad,Veg
11308,fd20185,Five Star Walnut Brownie With Warm Chocolate Sauce,Veg
11309,fd20186,Manchow Soup [Veg],Veg
11310,fd20187,Manchow Soup [Chicken],Non-veg
11311,fd20188,Hot & Sour Soup [Veg],Veg
11312,fd20189,Hot & Sour Soup [Chicken],Non-veg
11313,fd20190,Tomato Dhaniya Shopra,Veg
11314,fd20191,Sweet Corn [Veg],Veg
11315,fd20192,Sweet Corn Chicken [Chicken],Non-veg
11316,fd20193,Chana Chilly,Veg
11317,fd20195,American Chilly,Veg
11318,fd20196,American Salt & Pepper,Veg
11319,fd20216,Tandoori Salt & Pepper Chicken,Non-veg
11320,fd20217,Prawn Fish Chilly,Non-veg
11321,fd20218,Prawn Fish Salt & Pepper,Non-veg
11322,fd20219,Crispy Fried Chicken,Non-veg
11323,fd20220,Kasturi Murgh Tikka,Non-veg
11324,fd20221,Mug Afghani Kebab,Non-veg
11325,fd20222,Zafrani Murg Tikka,Non-veg
11326,fd20224,Murg Hazarvi Kebab,Non-veg
11327,fd20225,Tadke Wali Murg Tikka,Non-veg
11328,fd20226,Murg Resmi Kebab,Non-veg
11329,fd20227,Murg Lassoni Kebab,Non-veg
11330,fd20228,Tandoori Non Veg Platter,Non-veg
11331,fd20232,Kasturi Paneer Tikka,Veg
11332,fd20236,Subz Tilwani Gilafi Seekh Kebab,Veg
11333,fd20237,Veg Tandoori Platter,Veg
11334,fd20241,Sprout Salad,Veg
11335,fd20242,Chi Salad,Veg
11336,fd20243,Chinese Chicken Salad,Non-veg
11337,fd20244,Paneer Hakka Salad,Veg
11338,fd20245,Exotic Grilled Chi Salad,Veg
11339,fd20246,Stair Fried Chinese Green,Veg
11340,fd20247,Three Treasurer Vegetable,Veg
11341,fd20250,Slice Chicken in A Singapore Chilly Sauce,Non-veg
11342,fd20251,Chilly Chicken [Hot Garlic],Non-veg
11343,fd20252,Chilly Chicken [Szechwan],Non-veg
11344,fd20253,Chilly Chicken [Manchurian],Non-veg
11345,fd20254,Chilly Chicken Coriander,Non-veg
11346,fd20255,Fish Chilly [Chilly],Non-veg
11347,fd20256,Fish Chilly [Mustard Chilly],Non-veg
11348,fd20257,Fish Chilly Spicy Black,Non-veg
11349,fd20258,Paneer Chilly [Gravy],Veg
11350,fd20259,Mushroom Chilly [Gravy],Veg
11351,fd20260,Hakka Noodles [Veg],Veg
11352,fd20261,Hakka Noodles [Von Veg],Non-veg
11353,fd20262,Hakka Noodles [Mix],Non-veg
11354,fd20263,Fried Rice [Veg],Veg
11355,fd20264,Fried Rice [Non Veg],Non-veg
11356,fd20265,Fried Rice [Mix],Non-veg
11357,fd20266,Chilly Garlic Noodles [Veg],Veg
11358,fd20267,Chilly Garlic Noodles [Non Veg],Non-veg
11359,fd20268,Chilly Garlic Noodles [Mix],Non-veg
11360,fd20269,Schewan Fried Rice [Veg],Veg
11361,fd20270,Schewan Fried Rice [Non Veg],Non-veg
11362,fd20271,Schewan Fried Rice [Mix],Non-veg
11363,fd20272,Lions Fried Special Fried Rice [Veg],Veg
11364,fd20273,Lions Fried Special Fried Rice [Non Veg],Non-veg
11365,fd20274,Nasi Goreng [Veg],Veg
11366,fd20275,Nasi Goreng [Non Veg],Non-veg
11367,fd20276,American Chopsy [Veg],Veg
11368,fd20277,American Chopsy [Non Veg],Non-veg
11369,fd20278,American Chopsy [Mix],Non-veg
11370,fd20279,Chinese Chopsy [Veg],Veg
11371,fd20280,Chinese Chopsy [Non Veg],Non-veg
11372,fd20281,Chinese Chopsy [Mix],Non-veg
11373,fd20285,Baharasi Kofta,Veg
11374,fd20286,Paneer Bhuna Mircha,Veg
11375,fd20291,Vegetable Kadhai,Veg
11376,fd20292,Vegetable Subz Milloni,Veg
11377,fd20293,Vegetable Subz Sangam,Veg
11378,fd20296,Vegetable Veg Firangi,Veg
11379,fd20300,Mushroom Matar Malai,Veg
11380,fd20301,Makhani Khumb Lazeez,Veg
11381,fd20302,Kadhai Khumab Kaju,Veg
11382,fd20303,Linons Pride Special Mushroom,Veg
11383,fd20306,Dal Lazeez,Veg
11384,fd20307,Dal Tadka Dhabewali,Veg
11385,fd20309,Dal Bukhara,Veg
11386,fd20313,Hydrabadi Chicken,Non-veg
11387,fd20314,Begum Bahar,Non-veg
11388,fd20315,Korma Masala,Non-veg
11389,fd20316,Chicken Tawa Masala,Non-veg
11390,fd20318,Murg Patiyala,Non-veg
11391,fd20319,Murg Korma Masala,Non-veg
11392,fd20320,Murg Bhuna Masala,Non-veg
11393,fd20322,Murg Dehati,Non-veg
11394,fd20325,Fish Sarasowali,Non-veg
11395,fd20328,Tandoori Khinga Masala,Non-veg
11396,fd20329,Mutton Rogan Juice,Non-veg
11397,fd20330,Keema Masala,Non-veg
11398,fd20332,Egg Aap ki Pasand,Non-veg
11399,fd20334,Veg Hydrabadi Biryani,Veg
11400,fd20336,Tandoori Chicken Bviryani,Non-veg
11401,fd20339,Samundri Biryani,Non-veg
11402,fd20344,Ghee Rice,Veg
11403,fd20348,Tandoori Roti [Plain],Veg
11404,fd20349,Tandoori Roti [Butter],Veg
11405,fd20358,Bread Aap ki Pasand,Veg
11406,fd20359,Roti ki Tokari,Veg
11407,fd20361,Dal Shorba,Veg
11408,fd20362,Chicken Shorba,Non-veg
11409,fd20369,Chicken Pakodadehati,Non-veg
11410,fd20374,Spice Murgh Tikka,Non-veg
11411,fd20375,Ajwani Fish Tikka,Non-veg
11412,fd20376,Irani Fish Tikka,Non-veg
11413,fd20384,Mix Veg Garden Surprise,Veg
11414,fd20388,Home Style anda Curry,Non-veg
11415,fd20394,Mutton Roganjosh,Non-veg
11416,fd20397,Mughlai Anda Dal,Non-veg
11417,fd20415,Jeera Rice Baby Naan with Dal Makhani,Veg
11418,fd20416,Jeera Rice Lachcha Paratha with Palak Paneer,Veg
11419,fd20417,Butter Naan with Paneer Butter Masala [2pcs],Veg
11420,fd20418,Jeera Rice Baby Naan with Chicken Bharta,Non-veg
11421,fd20419,Jeera Rice Lachcha Paratha with Kadhai Chicken,Non-veg
11422,fd20420,Butter Naan with Chicken Butter Masala [2pcs],Non-veg
11423,fd20430,Chicken Clear,Non-veg
11424,fd20437,Chilli Babycorn,Veg
11425,fd20446,Crispy shreddedChicken,Non-veg
11426,fd20452,Exotic Veg in Hot Garlic Sauce,Veg
11427,fd20453,Chillipaneer,Veg
11428,fd20458,Veg Kung Pao,Veg
11429,fd20468,Shanghai Noodles,Veg
11430,fd20475,Honey Lemon Green Tea,Veg
11431,fd20477,Vegetarian Penne Pasta,Veg
11432,fd20478,Chicken Penne Pasta,Non-veg
11433,fd20482,Scrambled Eggs,Non-veg
11434,fd20486,Spagetti Aglio E Olio,Non-veg
11435,fd20489,Fish N Chips,Non-veg
11436,fd20491,Cheese Domes,Veg
11437,fd20492,Cheese Triangles,Veg
11438,fd20493,Cec Sandwich,Veg
11439,fd20495,Tandoori chicken Sandwich,Non-veg
11440,fd20498,Mix Veg Sandwich,Veg
11441,fd20500,Tandoori paneer Sandwich,Veg
11442,fd20501,Chilli Cheese Toast Rs,Veg
11443,fd20502,Garlic Cheese Toast Rs,Veg
11444,fd20503,Chocolate Sandwich Rs,Veg
11445,fd20504,Vegetarian,Veg
11446,fd20508,Strawberry Lemon Ice Tea Rs,Veg
11447,fd20509,Mint Lemon Ice Tea Rs,Veg
11448,fd20510,Regal Milkshake,Veg
11449,fd20511,Mixed Berry,Veg
11450,fd20512,Chocloate,Veg
11451,fd20517,Green Apple Soda,Veg
11452,fd20518,Blue Lagoon Soda,Veg
11453,fd20523,Chocolate Syrup,Veg
11454,fd20524,Darjeeling Tea,Veg
11455,fd20525,English Breakfast Tea,Veg
11456,fd20526,Earl Grey Tea,Veg
11457,fd20527,Green Tea Lemon Honey,Veg
11458,fd20528,Green Tea Mint,Veg
11459,fd20529,Peppermint,Veg
11460,fd20530,Chamommile,Veg
11461,fd20531,Lady Earl Grey,Veg
11462,fd20532,Green Tea Lemon,Veg
11463,fd20533,Lemon Flavored Tea,Veg
11464,fd20535,Darjeeling green whole Leaf Tea,Veg
11465,fd20536,White Tea,Veg
11466,fd20537,Jasmine Tea,Veg
11467,fd20539,Fried Eggs,Non-veg
11468,fd20542,Tomato Omelette,Non-veg
11469,fd20545,Egg Benedict,Non-veg
11470,fd20546,Plate Of Toast,Veg
11471,fd20548,Fried Sliced Tomatoes,Veg
11472,fd20549,Chhicken Sausages,Veg
11473,fd20550,Roasted Peanuts,Veg
11474,fd20556,Chilli Baby corn,Veg
11475,fd20557,Vegetable Sandwich,Veg
11476,fd20575,Chicken Lababdar (boneless),Non-veg
11477,fd20583,Egg Chowmein,Non-veg
11478,fd20584,Chicken Chowmein,Non-veg
11479,fd20596,Mutton Kasha,Non-veg
11480,fd20603,Masala Peanuts,Veg
11481,fd20604,Wafer Chips,Veg
11482,fd20606,Cheese-Pineapple Sticks,Veg
11483,fd20610,Devilled Eggs,Non-veg
11484,fd20611,Potato - Egg Croquettes,Non-veg
11485,fd20612,Chicken - Egg Croquettes,Non-veg
11486,fd20619,Batter Fried Prawn & Chips,Non-veg
11487,fd20620,Salt and Pepper Corn,Veg
11488,fd20625,Fish Sizzler,Non-veg
11489,fd20626,Mixed Sizzler,Non-veg
11490,fd20627,Chicken Sizzler,Non-veg
11491,fd20628,Paneer Sizzler,Veg
11492,fd20629,Veg. Sizzler,Veg
11493,fd20631,Veg Stew,Veg
11494,fd20632,Roast Chicken,Non-veg
11495,fd20633,Chicken Steak,Non-veg
11496,fd20634,Baked Chicken in White Sauce,Non-veg
11497,fd20635,Chicken Stroganoff & Butter Rice,Non-veg
11498,fd20636,Mutton Cutlet,Non-veg
11499,fd20637,Pork Chops,Non-veg
11500,fd20638,Chicken Vindaloo,Non-veg
11501,fd20640,Vegetable Cutlet,Veg
11502,fd20641,Pork Vindaloo,Non-veg
11503,fd20642,Chicken Xacuti (With Bread),Non-veg
11504,fd20643,Mutton Xacuti (With Bread),Non-veg
11505,fd20644,Fish (basa) & Chips,Non-veg
11506,fd20645,Batter Fried Prawns & Chips,Non-veg
11507,fd20646,Goan Prawn Curry,Non-veg
11508,fd20647,Mutton Keema Potato Chops,Non-veg
11509,fd20648,Chicken Keema Potato Chops,Non-veg
11510,fd20649,Fish Reshad,Non-veg
11511,fd20650,Grilled Fish With Lemon Butter Sauce,Non-veg
11512,fd20651,Goa Prawn Curry,Non-veg
11513,fd20652,Goa Fish Curry,Non-veg
11514,fd20654,Chutney Sandwich,Veg
11515,fd20658,Club Sandwich Cheese,Veg
11516,fd20659,Club Sandwich Egg,Non-veg
11517,fd20660,Club Sandwich Chicken,Non-veg
11518,fd20666,Veg Sweet corn,Veg
11519,fd20667,Veg Wonton,Veg
11520,fd20671,Veg Talumein Coriander Soup,Veg
11521,fd20673,Chicken Sweet corn,Non-veg
11522,fd20676,Chicken Wonton,Non-veg
11523,fd20677,Chicken Talumein Coriander Soup,Non-veg
11524,fd20680,Crispy Chinese Vegetables,Veg
11525,fd20681,Veg Sweet & Sour,Veg
11526,fd20682,Salt & Pepper Vegetables,Veg
11527,fd20687,Sweet & Sour Paneer,Veg
11528,fd20688,Extra Chutney,Veg
11529,fd20689,Plan Paratha,Veg
11530,fd20690,Onion Chilli Paratha,Veg
11531,fd20691,Onion And Tomato Paratha,Veg
11532,fd20694,Sattu Paratha,Veg
11533,fd20695,Onion & Tomato Paratha,Veg
11534,fd20697,Gobhi Paratha,Veg
11535,fd20698,Mooli Paratha,Veg
11536,fd20701,Aloo Chokha,Veg
11537,fd20702,Dal Yellow Butter,Veg
11538,fd20703,Chana Dal (Bengali Style),Veg
11539,fd20705,Mixed Dal Vegetable,Veg
11540,fd20711,Shahi Dum Aloo,Veg
11541,fd20712,Aloo Posto (Poppy Seeds),Veg
11542,fd20714,Vegetable Malai Kofta,Veg
11543,fd20716,Mixed Vegetables,Veg
11544,fd20721,Paneer Pasinda,Veg
11545,fd20726,Tandoori Chicken - Full,Non-veg
11546,fd20734,Chicken Posto (Poppy Seeds),Non-veg
11547,fd20735,Sarso (Mustard) Chicken,Non-veg
11548,fd20738,Chicken Do-Pyaza,Non-veg
11549,fd20739,Kerala Chicken Dry,Non-veg
11550,fd20740,Capsicum Curd Chicken,Non-veg
11551,fd20743,Chicken Hara Dhania,Non-veg
11552,fd20745,Tandoori Chicken - Half,Non-veg
11553,fd20753,Masala Fish,Non-veg
11554,fd20754,Mustard Fish (Bengali Style),Non-veg
11555,fd20757,Prawn Chilli Fry,Non-veg
11556,fd20758,Irish Stew In A Pie,Non-veg
11557,fd20759,Shepherd's Pie (chicken),Non-veg
11558,fd20760,Shepherd's Pie (mutton),Non-veg
11559,fd20761,Veg. Lasagna & Garlic Bread,Veg
11560,fd20762,Chicken Lasagne & Garlic Bread,Non-veg
11561,fd20763,Bread & Butter Pudding,Non-veg
11562,fd20764,Lemon Tart,Non-veg
11563,fd20765,Chocolate Tart,Veg
11564,fd20767,Caramel Custard,Non-veg
11565,fd20768,"Butter Naan , Shahi Paneer.",Veg
11566,fd20769,"Fry Kulcha , Kadhai Paneer.",Veg
11567,fd20770,"Fry Kulcha , Veg Malai Kofta.",Veg
11568,fd20771,"Fry Kulcha , Shahi Paneer.",Veg
11569,fd20772,"Butter Naan , Kadhai Paneer.",Veg
11570,fd20773,"Butter Naan-1pc, Veg Malai Kofta-1/2.",Veg
11571,fd20774,"Plain Naan , Shahi Paneer.",Veg
11572,fd20775,"Plain Naan , Veg Malai Kofta.",Veg
11573,fd20776,"Plain Naan , Paneer Butter Masala.",Veg
11574,fd20777,"Chapati , Shahi Paneer.",Veg
11575,fd20778,"Chapati , Veg. Malai Kofta.",Veg
11576,fd20779,"Chapati , Kadhai Paneer.",Veg
11577,fd20780,"Butter Naan , Chicken Curry.",Non-veg
11578,fd20781,"Fry Kulcha , Chicken Butter Masala .",Non-veg
11579,fd20782,"Butter Naan , Chicken Kadhai.",Non-veg
11580,fd20783,"Plain Naan , Chicken Butter Masala.",Non-veg
11581,fd20784,"Chapati , Chicken Curry.",Non-veg
11582,fd20785,"Paratha ,chicken Butter Masala.",Non-veg
11583,fd20786,"Paratha , Chicken Kadhai.",Non-veg
11584,fd20787,"Chapati , Chicken Kadhai.",Non-veg
11585,fd20788,Veg. Fried Rice & Crispy Chinese Vegetables,Veg
11586,fd20789,Veg. Fried Rice & Chilli Mushroom,Veg
11587,fd20790,Veg. Fried Rice & Paneer Manchurian,Veg
11588,fd20791,Veg. Fried Rice & Salt And Pepper Vegetables,Veg
11589,fd20792,Veg. Fried Rice & Sweet And Sour Vegetables,Veg
11590,fd20793,Veg. Fried Rice & Sweet And Sour Paneer,Veg
11591,fd20794,Veg Fried Rice & Veg Manchurian,Veg
11592,fd20795,Chicken Chowmein & Ginger Chicken,Non-veg
11593,fd20796,Chicken Chowmein & Garlic Chicken,Non-veg
11594,fd20797,Egg Chowmein & Ginger Chicken,Non-veg
11595,fd20798,Egg Chowmein & Garlic Chicken,Non-veg
11596,fd20799,Mixed Chowmein & Ginger Chicken,Non-veg
11597,fd20800,Mixed Chowmein & Garlic Chicken,Non-veg
11598,fd20801,Veg. Chowmein & Ginger Chicken,Non-veg
11599,fd20802,Veg. Chowmein & Garlic Chicken,Non-veg
11600,fd20803,Veg Chowmein & Chilli Chicken,Non-veg
11601,fd20804,Mixed Chowmein & Chilli Chicken,Non-veg
11602,fd20805,Egg Chowmein & Chilli Chicken,Non-veg
11603,fd20806,Chicken Chowmein & Chilli Chicken,Non-veg
11604,fd20807,Veg Chowmein & Veg Manchurian,Veg
11605,fd20808,Veg Chowmein & Paneer Manchurian /  Garlic Paneer,Veg
11606,fd20809,Veg Fried Rice  / Shanghai Chicken,Non-veg
11607,fd20810,Prawn Fried Rice  / Shanghai Chicken,Non-veg
11608,fd20811,Prawn Fried Rice  / Chilli Chicken,Non-veg
11609,fd20812,Prawn Fried Rice  / Garlic Chicken,Non-veg
11610,fd20813,Chicken Fried Rice / Garlic Chicken,Non-veg
11611,fd20814,Chicken Fried Rice / Chilli Chicken,Non-veg
11612,fd20815,"Veg. Pulao, Butter Naan, Dal Butter Fry, Veg. Malai Kofta",Veg
11613,fd20816,"Peas Pulao, Fry Kulcha, Dal Butter Fry, Paneer Shahi / Kadhai / Butter Masala",Veg
11614,fd20817,"Steamed Rice, Dal Butter Fry, Puri, Paneer Butter Masala",Veg
11615,fd20818,"Jeera Rice, Puri, Chana Dal, Mattar Paneer",Veg
11616,fd20819,"Peas Pulao, Paratha, Dal Butter Fry, Mixed Vegetable",Veg
11617,fd20820,"Jeera Rice, Puri, Dal Butter Fry, Mushroom",Veg
11618,fd20821,"Paratha, Chicken Tikka Kebab",Non-veg
11619,fd20822,"Steamed Rice , Puri , Chana Dal Tadka , Chicken Dehati .",Non-veg
11620,fd20823,"Veg Pulao , Plain Naan , Dal Butter Fry , Chicken Curry .",Non-veg
11621,fd20824,"Veg Pulao, Butter Naan, Chana Dal Tadka, Chicken Kadhai",Non-veg
11622,fd20825,"Veg Pulao, Fry Kulcha, Dal Makhani, Chicken Butter Masala",Non-veg
11623,fd20826,"Jeera Rice, Butter Naan, Dal Makhani, Chicken Butter Masala",Non-veg
11624,fd20827,"Steamed Rice, Chapati, Dal Butter, Chicken Curry",Non-veg
11625,fd20828,"Jeera Rice, Puri, Dal Butter, Chicken Kadhai",Non-veg
11626,fd20829,Veg Thukpa,Veg
11627,fd20830,Chicken Thukpa,Non-veg
11628,fd20831,Mixed Thukpa,Non-veg
11629,fd20833,Pork Momo,Non-veg
11630,fd20834,Prawns Momo,Non-veg
11631,fd20836,Milk,Veg
11632,fd20837,Tea Cup,Veg
11633,fd20838,Tea Pot,Veg
11634,fd20839,Coffee Cup,Veg
11635,fd20840,Coffee Pot,Veg
11636,fd20841,Hot Chocolate (Glass),Veg
11637,fd20845,Orange Canned Juice,Veg
11638,fd20851,Veg Hong Kong Noodles,Veg
11639,fd20853,Chicken Hakka Chowmein,Non-veg
11640,fd20855,Mixed Chow mein,Veg
11641,fd20857,Chicken Hong Kong Noodles,Non-veg
11642,fd20858,Mutton Pan Fried Noodles,Non-veg
11643,fd20859,Prawn Chowmein,Non-veg
11644,fd20861,Garlic & Chilli Fried Rice,Veg
11645,fd20885,Sweet and Sour Fish,Non-veg
11646,fd20886,Roast Pork,Non-veg
11647,fd20889,Crispy Honey Pork,Non-veg
11648,fd20891,Butter Garlic Naan,Veg
11649,fd20892,Butter Garlic Cheese Naan,Veg
11650,fd20896,Tawa Paratha,Veg
11651,fd20902,Burnt Onion Pulao,Veg
11652,fd20908,Khichdi,Veg
11653,fd20909,Kaju Kismis Pulao,Veg
11654,fd20913,Achari Egg,Non-veg
11655,fd20920,Champaran Mutton,Non-veg
11656,fd20922,Hyderabadi Veg,Veg
11657,fd20926,Calcutta Style Chicken,Non-veg
11658,fd20927,Calcutta Style Mutton,Non-veg
11659,fd20928,Hyderabadi Egg,Non-veg
11660,fd20929,Hyderabadi Chicken,Non-veg
11661,fd20933,Hawaiian Salad,Veg
11662,fd20935,Chicken Hawaiian Salad,Non-veg
11663,fd20936,Mustard Pineapple (Seasonal),Veg
11664,fd20946,Suji Chilla,Veg
11665,fd20949,Sweet Vanilla Lassi,Veg
11666,fd20950,Hot And Sour,Veg
11667,fd20952,Sattu Parantha,Veg
11668,fd20954,Cheese Fried Momos,Veg
11669,fd20955,Paneer Fried Momos,Veg
11670,fd20958,Soya Fried Momos,Veg
11671,fd20959,Fresh Raw Cow Paneer [200 Gm],Veg
11672,fd20960,Bread Chop 5 Pcs,Veg
11673,fd20961,Vada 5 Pcs,Veg
11674,fd20963,Onion Pakoda [Half],Veg
11675,fd20964,Onion Pakoda [Full],Veg
11676,fd20968,Chicken[Stew],Non-veg
11677,fd20976,Dalpuri With Sabji[5Pcs],Veg
11678,fd20977,Halwa,Veg
11679,fd20978,Jalebi[5Pcs],Veg
11680,fd20980,Chicken Biryani[Egg],Non-veg
11681,fd20982,Paratha[5Pcs],Veg
11682,fd20983,Paratha[1Pcs],Veg
11683,fd20987,Chilli Chicken (dry),Non-veg
11684,fd20988,Chilli Paneer (dry),Veg
11685,fd21042,Vanilla Cake (1 Pound),Veg
11686,fd21043,Pineapple Cake (1 Pound),Veg
11687,fd21044,Bluberry Cake (1 Pound),Veg
11688,fd21045,Kitkat Cake (1 Pound),Veg
11689,fd21050,Butterscotch Cake (1 Pound),Veg
11690,fd21052,Mango Cake (1 Pound),Veg
11691,fd21053,Chocolate Cake (1 Pound),Veg
11692,fd21054,Truffle Cake (1 Pound),Veg
11693,fd21055,Pista Cake (1 Pound),Veg
11694,fd21057,Valentine Cake (1 Pound),Veg
11695,fd21058,Dutch By Chocolate Cake (1 Pound),Veg
11696,fd21059,Kitkat and Gems Cake (1 Pound),Veg
11697,fd21060,Round-Shaped Red Velvet Cake (1 Pound),Veg
11698,fd21061,Round-Shaped Red Velvet Cake (1 Pound) With Cream Cheese,Veg
11699,fd21062,Heart-Shaped Red Velvet Cake (1 Pound),Veg
11700,fd21063,Heart-Shaped Red Velvet Cake (1 Pound) With Creamcheese,Veg
11701,fd21064,Walnut Cake (1 Pound),Veg
11702,fd21065,Brownie Cake (1 Pound),Veg
11703,fd21066,Oreo Cake (1 Pound),Veg
11704,fd21067,Smiley Vanilla Cake (1 Pound),Veg
11705,fd21068,Smiley Strawbery Cake (1 Pound),Veg
11706,fd21069,Smiley Butterscotch Cake (1 Pound),Veg
11707,fd21070,Smiley Chocolate Cake (1 Pound),Veg
11708,fd21071,Strawberry With Chocolate Base (1 Pound),Veg
11709,fd21072,Pineapple With Chocolate Base (1 Pound),Veg
11710,fd21073,Butterscotch With Chocolate Base (1 Pound),Veg
11711,fd21074,Mango With Chocolate Base (1 Pound),Veg
11712,fd21075,Blueberry Cake (2 Pound),Veg
11713,fd21076,Vanilla Cake (2 Pound),Veg
11714,fd21077,Chocolate Cake (2 Pound),Veg
11715,fd21078,Pineapple Cake (2 Pound),Veg
11716,fd21079,Strawberry Cake (2 Pound),Veg
11717,fd21080,Black Forest Cake (2 Pound),Veg
11718,fd21081,Choca Moca Cake (2 Pound),Veg
11719,fd21082,Fresh Fruit Cake (2 Pound),Veg
11720,fd21083,Truffle Cake (2 Pound),Veg
11721,fd21084,Walnut Cake (2 Pound),Veg
11722,fd21085,Brownie Cake (2 Pound),Veg
11723,fd21086,White Forest Cake 1 Pound,Veg
11724,fd21087,Butterscotch Cake (2 Pound),Veg
11725,fd21088,Pista Cake (2 Pound),Veg
11726,fd21089,Oreo Cake (2 Pound),Veg
11727,fd21090,Kitkat Cake (2 Pound),Veg
11728,fd21091,Kitkat And Gems Cake (2 Pound),Veg
11729,fd21092,Chocovanilla Cake (2 Pound),Veg
11730,fd21093,Smiley Vanilla Cake (2 Pound),Veg
11731,fd21094,Smiley Pineapple Cake (2 Pound),Veg
11732,fd21095,Smiley Chocolate Cake (2 Pound),Veg
11733,fd21096,Smiley Strawbery Cake (2 Pound),Veg
11734,fd21097,Smiley Butterscotch Cake (2 Pound),Veg
11735,fd21098,Chocolate Delight Heart Shape Cake (1 Pound),Veg
11736,fd21099,Strawbrry Punch Heart Shape Cake (1 Pound),Veg
11737,fd21100,Two In One Round Cake (1 Pound),Veg
11738,fd21101,Chocolate Mousse Box (4 Pcs),Veg
11739,fd21102,Oreo Mousse Box  (4 Pcs),Veg
11740,fd21103,Rose Mousse Box  (4 Pcs),Veg
11741,fd21104,Kitkat Mousse Box  (3 Pcs),Veg
11742,fd21105,Pinata Without Hammer (1 Pound),Veg
11743,fd21106,Pinata With Hammer (1 Pound),Veg
11744,fd21107,Smiley Pineapple Cake (1 Pound),Veg
11745,fd21108,Pineapple With Chocolate Base (2 Pound),Veg
11746,fd21109,Mango With Chocolate Base (2 Pound),Veg
11747,fd21110,Mango Cake (2 Pound),Veg
11748,fd21111,Pineapple Mousse Box,Veg
11749,fd21112,Strawberry Mousse Box,Veg
11750,fd21113,Butterscotch Mousse Box,Veg
11751,fd21114,Blueberry Mousse Box (3 Pcs),Veg
11752,fd21115,Black Forest Mousse Box (4 Pcs),Veg
11753,fd21116,Vanilla Mousse (4 Pcs),Veg
11754,fd21119,Chilli Paneer Garave,Veg
11755,fd21122,Crispy ChilliBaby Corn,Veg
11756,fd21123,Mashroom Chill,Veg
11757,fd21124,Chana Chill,Veg
11758,fd21125,Veg Cheese PIzza [1Ps],Veg
11759,fd21126,Mushroom PIzza [1 Plate],Veg
11760,fd21127,Paneer PIzza [1 Plate],Veg
11761,fd21128,Chicken PIzza [1 Plate],Non-veg
11762,fd21129,Veg Burger [1 Ps],Veg
11763,fd21130,Veg Chees Burger [1 Ps],Veg
11764,fd21131,Yellow Dalfry,Veg
11765,fd21134,Aloo Gobi Masala,Veg
11766,fd21137,Mushroom do pyaja,Veg
11767,fd21138,MIx Veg,Veg
11768,fd21139,Veg Jelfrezi,Veg
11769,fd21143,Paneer Do Piyaja,Veg
11770,fd21147,Jeera Allo,Veg
11771,fd21148,Kashmiri Dum Allo,Veg
